trial,model,feature_method,overall_adr
trial_1,random_forest,anova,0.97875
trial_1,random_forest,mutual_info,0.98
trial_1,random_forest,pca,0.9583333333333333
trial_1,random_forest,rfe,0.9825
trial_1,logistic_regression,anova,0.9612499999999999
trial_1,logistic_regression,mutual_info,0.9537500000000001
trial_1,logistic_regression,pca,0.9375
trial_1,logistic_regression,rfe,0.9025000000000001
trial_1,gradient_boosting,anova,0.91625
trial_1,gradient_boosting,mutual_info,0.9324999999999999
trial_1,gradient_boosting,pca,0.9924999999999999
trial_1,gradient_boosting,rfe,0.9137500000000001
trial_1,svc,anova,0.9725
trial_1,svc,mutual_info,0.8770833333333333
trial_1,svc,pca,0.5416666666666666
trial_1,svc,rfe,0.9120833333333334
trial_1,knn,anova,0.925
trial_1,knn,mutual_info,0.9450000000000001
trial_1,knn,pca,0.8895833333333334
trial_1,knn,rfe,0.8958333333333334
trial_1,xgb,anova,0.9725
trial_1,xgb,mutual_info,0.965
trial_1,xgb,pca,0.8333333333333333
trial_1,xgb,rfe,0.6908333333333333
trial_2,random_forest,anova,0.9829317269076304
trial_2,random_forest,mutual_info,0.9809236947791163
trial_2,random_forest,pca,0.8125
trial_2,random_forest,rfe,0.9402610441767068
trial_2,logistic_regression,anova,0.9799196787148595
trial_2,logistic_regression,mutual_info,0.9708835341365463
trial_2,logistic_regression,pca,0.9809236947791166
trial_2,logistic_regression,rfe,0.9518072289156626
trial_2,gradient_boosting,anova,0.965863453815261
trial_2,gradient_boosting,mutual_info,0.965863453815261
trial_2,gradient_boosting,pca,0.8243808567603748
trial_2,gradient_boosting,rfe,0.9262048192771085
trial_2,svc,anova,0.8617804551539492
trial_2,svc,mutual_info,0.8301539491298527
trial_2,svc,pca,0.5416666666666666
trial_2,svc,rfe,0.97
trial_2,knn,anova,0.9809236947791163
trial_2,knn,mutual_info,0.9252008032128515
trial_2,knn,pca,0.7310910307898258
trial_2,knn,rfe,0.9231927710843374
trial_2,xgb,anova,0.86
trial_2,xgb,mutual_info,0.9899598393574296
trial_2,xgb,pca,0.6438253012048193
trial_2,xgb,rfe,0.671
trial_3,random_forest,anova,0.9897727272727272
trial_3,random_forest,mutual_info,0.9655303030303031
trial_3,random_forest,pca,0.7778409090909091
trial_3,random_forest,rfe,0.9342803030303031
trial_3,logistic_regression,anova,0.975
trial_3,logistic_regression,mutual_info,0.9024621212121212
trial_3,logistic_regression,pca,0.9712121212121212
trial_3,logistic_regression,rfe,0.9613636363636363
trial_3,gradient_boosting,anova,0.9522727272727273
trial_3,gradient_boosting,mutual_info,0.9636363636363636
trial_3,gradient_boosting,pca,0.8802083333333333
trial_3,gradient_boosting,rfe,0.9321969696969696
trial_3,svc,anova,0.8568181818181819
trial_3,svc,mutual_info,0.6820075757575758
trial_3,svc,pca,0.546875
trial_3,svc,rfe,0.8708333333333333
trial_3,knn,anova,0.733
trial_3,knn,mutual_info,0.9233901515151515
trial_3,knn,pca,0.618655303030303
trial_3,knn,rfe,0.8144886363636363
trial_3,xgb,anova,0.645
trial_3,xgb,mutual_info,0.8787878787878788
trial_3,xgb,pca,0.6197916666666666
trial_3,xgb,rfe,0.7051136363636363
