model,feature_method,mean_adr
random_forest,anova,0.9838181513934526
random_forest,mutual_info,0.9754846659364732
logistic_regression,anova,0.9720565595716198
logistic_regression,pca,0.963211938663746
gradient_boosting,mutual_info,0.9539999391505415
random_forest,rfe,0.95234711573567
gradient_boosting,anova,0.9447953936959962
xgb,mutual_info,0.9445825727151028
logistic_regression,mutual_info,0.9423652184495559
logistic_regression,rfe,0.9385569550930996
knn,mutual_info,0.9311969849093343
gradient_boosting,rfe,0.9240505963246927
svc,rfe,0.9176388888888889
gradient_boosting,pca,0.899029730031236
svc,anova,0.8970328789907104
knn,anova,0.8796412315930388
knn,rfe,0.8778382469271024
random_forest,pca,0.8495580808080808
xgb,anova,0.8258333333333333
svc,mutual_info,0.7964149527402539
knn,pca,0.7464432223844875
xgb,pca,0.6989834337349397
xgb,rfe,0.6889823232323232
svc,pca,0.5434027777777778
