trial,target_device,model,model_group,feature_method,outer_fold,selected_features,inner_cv_balanced_accuracy,auth_tdr,auth_fdr,rogue_rejection_rate,adr,n_auth_train,n_auth_test,n_rogue_external_test
trial_1,device3,random_forest,existing,ANOVA fitted inside training folds,1,50,,0.0,0.09090909090909091,0.95,0.475,30,16,100
trial_1,device3,random_forest,existing,ANOVA fitted inside training folds,2,50,,0.0,0.0,0.95,0.475,31,15,100
trial_1,device3,random_forest,existing,ANOVA fitted inside training folds,3,50,,0.25,0.0,0.98,0.615,31,15,100
trial_1,device2,random_forest,existing,ANOVA fitted inside training folds,1,50,,0.0,0.09090909090909091,0.94,0.47,30,16,100
trial_1,device2,random_forest,existing,ANOVA fitted inside training folds,2,50,,0.0,0.0,0.89,0.445,31,15,100
trial_1,device2,random_forest,existing,ANOVA fitted inside training folds,3,50,,0.0,0.0,0.97,0.485,31,15,100
trial_1,device12,random_forest,existing,ANOVA fitted inside training folds,1,50,,0.0,0.0,1.0,0.5,30,16,100
trial_1,device12,random_forest,existing,ANOVA fitted inside training folds,2,50,,0.0,0.0,1.0,0.5,31,15,100
trial_1,device12,random_forest,existing,ANOVA fitted inside training folds,3,50,,0.0,0.0,1.0,0.5,31,15,100
trial_1,device9,random_forest,existing,ANOVA fitted inside training folds,1,50,,0.0,0.0,0.99,0.495,30,16,100
trial_1,device9,random_forest,existing,ANOVA fitted inside training folds,2,50,,0.0,0.09090909090909091,0.93,0.465,31,15,100
trial_1,device9,random_forest,existing,ANOVA fitted inside training folds,3,50,,0.0,0.0,0.91,0.455,31,15,100
trial_1,device3,logistic_regression,existing,ANOVA fitted inside training folds,1,50,,0.6,0.5454545454545454,0.7,0.6499999999999999,30,16,100
trial_1,device3,logistic_regression,existing,ANOVA fitted inside training folds,2,50,,0.75,0.18181818181818182,0.63,0.69,31,15,100
trial_1,device3,logistic_regression,existing,ANOVA fitted inside training folds,3,50,,0.25,0.2727272727272727,0.57,0.41,31,15,100
trial_1,device2,logistic_regression,existing,ANOVA fitted inside training folds,1,50,,0.4,0.5454545454545454,0.63,0.515,30,16,100
trial_1,device2,logistic_regression,existing,ANOVA fitted inside training folds,2,50,,0.2,0.2,0.68,0.44000000000000006,31,15,100
trial_1,device2,logistic_regression,existing,ANOVA fitted inside training folds,3,50,,0.5,0.2727272727272727,0.64,0.5700000000000001,31,15,100
trial_1,device12,logistic_regression,existing,ANOVA fitted inside training folds,1,50,,0.0,0.14285714285714285,0.77,0.385,30,16,100
trial_1,device12,logistic_regression,existing,ANOVA fitted inside training folds,2,50,,0.0,0.38461538461538464,0.76,0.38,31,15,100
trial_1,device12,logistic_regression,existing,ANOVA fitted inside training folds,3,50,,0.0,0.23076923076923078,0.57,0.285,31,15,100
trial_1,device9,logistic_regression,existing,ANOVA fitted inside training folds,1,50,,0.4,0.18181818181818182,0.77,0.585,30,16,100
trial_1,device9,logistic_regression,existing,ANOVA fitted inside training folds,2,50,,0.5,0.18181818181818182,0.73,0.615,31,15,100
trial_1,device9,logistic_regression,existing,ANOVA fitted inside training folds,3,50,,0.25,0.36363636363636365,0.6,0.425,31,15,100
trial_1,device3,extra_trees,added,ANOVA fitted inside training folds,1,50,,0.0,0.18181818181818182,0.93,0.465,30,16,100
trial_1,device3,extra_trees,added,ANOVA fitted inside training folds,2,50,,0.0,0.0,0.98,0.49,31,15,100
trial_1,device3,extra_trees,added,ANOVA fitted inside training folds,3,50,,0.0,0.0,0.9,0.45,31,15,100
trial_1,device2,extra_trees,added,ANOVA fitted inside training folds,1,50,,0.0,0.09090909090909091,0.95,0.475,30,16,100
trial_1,device2,extra_trees,added,ANOVA fitted inside training folds,2,50,,0.2,0.0,0.92,0.56,31,15,100
trial_1,device2,extra_trees,added,ANOVA fitted inside training folds,3,50,,0.0,0.0,0.92,0.46,31,15,100
trial_1,device12,extra_trees,added,ANOVA fitted inside training folds,1,50,,0.0,0.0,1.0,0.5,30,16,100
trial_1,device12,extra_trees,added,ANOVA fitted inside training folds,2,50,,0.0,0.0,1.0,0.5,31,15,100
trial_1,device12,extra_trees,added,ANOVA fitted inside training folds,3,50,,0.0,0.0,1.0,0.5,31,15,100
trial_1,device9,extra_trees,added,ANOVA fitted inside training folds,1,50,,0.0,0.09090909090909091,0.99,0.495,30,16,100
trial_1,device9,extra_trees,added,ANOVA fitted inside training folds,2,50,,0.0,0.09090909090909091,0.93,0.465,31,15,100
trial_1,device9,extra_trees,added,ANOVA fitted inside training folds,3,50,,0.0,0.0,0.88,0.44,31,15,100
trial_1,device3,lda,added,ANOVA fitted inside training folds,1,50,,0.6,0.5454545454545454,0.83,0.715,30,16,100
trial_1,device3,lda,added,ANOVA fitted inside training folds,2,50,,0.25,0.18181818181818182,0.76,0.505,31,15,100
trial_1,device3,lda,added,ANOVA fitted inside training folds,3,50,,0.25,0.18181818181818182,0.66,0.455,31,15,100
trial_1,device2,lda,added,ANOVA fitted inside training folds,1,50,,0.0,0.2727272727272727,0.71,0.355,30,16,100
trial_1,device2,lda,added,ANOVA fitted inside training folds,2,50,,0.2,0.2,0.78,0.49,31,15,100
trial_1,device2,lda,added,ANOVA fitted inside training folds,3,50,,0.5,0.18181818181818182,0.7,0.6,31,15,100
